method,accuracy,TFLOPs,method_name
random-50,0.3892828999211978,1788.0,Random-50
random-50_50,0.5594956658786446,11175.0,Random-50
gmpirt-50,0.37559055118110235,1788.0,gmp-IRT-50
gmpirt-20_50,0.41185527328714394,4470.0,gmp-IRT-20
gmpirt-20_24,0.4926866820631255,2145.6,gmp-IRT-20
gmpirt-30_50,0.40884406516679594,6705.0,gmp-IRT-30
random-30_24,0.5407292474786657,3218.3999999999996,Random-30
random-50_100,0.4239558707643814,22350.0,Random-50
gmpirt-50_24,0.5590551181102362,5364.0,gmp-IRT-50
gmpirt-30,0.37238169123351433,1072.8,gmp-IRT-30
gmpirt-50_100,0.38188976377952755,22350.0,gmp-IRT-50
random-100,0.37899917965545526,3576.0,Random-100
random-100_15,0.47990155865463496,6705.0,Random-100
gmpirt-30_15,0.45228859581070596,2011.5,gmp-IRT-30
random-20_15,0.4588144726712856,1340.9999999999998,Random-20
random-500_15,0.4835164835164835,33525.0,Random-500
gmpirt-20_15,0.35642802155504233,1340.9999999999998,gmp-IRT-20
random-1000,0.438871473354232,35760.0,Full Dataset
random-1000_15,0.49216300940438873,67050.0,Full Dataset
gmpirt-20_100,0.4357197844495766,8940.0,gmp-IRT-20
gmpirt-50_15,0.44330708661417323,3352.5,gmp-IRT-50
gmpirt-30_24,0.4321179208688906,3218.3999999999996,gmp-IRT-30
gmpirt-50_50,0.4448818897637795,11175.0,gmp-IRT-50
random-20_24,0.48344880677444185,2145.6,Random-20
gmpirt-20,0.36797536566589684,715.1999999999999,gmp-IRT-20
random-500,0.37606837606837606,17880.0,Random-500
gmpirt-30_100,0.3700543056633049,13410.0,gmp-IRT-30
random-50_15,0.49566587864460204,3352.5,Random-50
random-50_24,0.4665090622537431,5364.0,Random-50
random-20_50,0.4241724403387221,4470.0,Random-20
random-20_100,0.5050038491147036,8940.0,Random-20
random-30_50,0.43289371605896043,6705.0,Random-30
random-30,0.40496508921644686,1072.8,Random-30
random-20,0.39107005388760585,715.1999999999999,Random-20
random-30_100,0.43289371605896043,13410.0,Random-30
gmpirt-20_175,0.49576597382602,15644.999999999998,gmp-IRT-20
gmpirt-30_112,0.49806051202482543,15019.199999999999,gmp-IRT-30
gmpirt-50_175,0.4984251968503937,39112.5,gmp-IRT-50
