lang,clusters,error_tb_eucl,error_lin_eucl,cosine_tb,cosine_lin
dutch,10,22.285730521412262,2.7818011668063956,0.0005495805383120796,0.5861174174819302
dutch,15,33.11686367716686,3.077303907574805,0.054440468876444166,0.32962372790081884
dutch,20,50.89060344178343,2.8501346614936445,0.2584309684052368,0.4650444141224901
dutch,30,45.68472811938117,2.7057967312837747,-0.15376218535705619,0.5436028607302619
dutch,50,4.4221808483750324,2.369102873713081,0.33787988998610674,0.6735843450675489
dutch,100,2.875715740820426,2.3570516302187805,0.5381400948427735,0.7142756680765638
german,10,33.17995669767731,2.536739289503949,-0.16993536587581612,0.0147102575812631
german,15,33.430926535424135,3.2147459155919074,0.153996120785812,-0.4241987469538779
german,20,58.353590541669085,1.763747023978071,-0.03821816786577783,0.6516371979616682
german,30,65.69985551055018,1.650854713793009,0.12133203314467421,0.6741711918890271
german,50,3.9603903238792557,1.7434799100409706,-0.07783154676832547,0.6499565128527004
german,100,2.4848368716657214,1.8675460054291266,0.5371307413988362,0.511906920687574
italian,10,35.79885624222567,1.8320448618759575,0.458674279045356,0.619048829813367
italian,15,45.28962867958097,1.8320368727589038,0.2755476502105699,0.6777169422146454
italian,20,46.3561672589712,1.8127726957060033,0.18169843731629481,0.8116222033432892
italian,30,54.10607479796011,1.3638696876856544,-0.17962837780909313,0.8615551200755505
italian,50,3.9844959094365886,1.6967881980762403,0.019036359417574367,0.7466405403457048
italian,100,2.6631326593358633,1.5876161270822517,0.5128935307353988,0.8330757511138773
romanian,10,25.128915563623575,2.982984556695966,-0.17710091172775538,0.06107934728898498
romanian,15,27.14658830590721,1.6700854736141708,0.08057604002754987,0.7771620876614628
romanian,20,46.04302041559952,1.7720966388465242,0.16549509298566034,0.6880529107211234
romanian,30,5.869898977366509,1.7183223689376874,0.6017531553108736,0.7729245599072683
romanian,50,3.8634621197878607,1.9849043907452113,0.3847548195210722,0.6129070977726896
romanian,100,3.515640369966674,1.6871366849333553,0.022454058711410117,0.7235120889700142
spanish,10,25.46803976434247,5.51307258233694,0.4806292085074348,-0.29065361964707276
spanish,15,45.84504156618816,2.0830142709646697,0.46512301782122345,0.4769767266507525
spanish,20,78.53952729614556,1.9207958470569886,0.581693302298424,0.5842677708986471
spanish,30,13.494923955995356,1.7477043257999345,-0.12325047607314528,0.6885331544907825
spanish,50,4.815368204524619,1.7610948989017934,0.18486140476427318,0.6786730183697139
spanish,100,2.825832061195777,1.7335906024576688,0.3307869752252279,0.6760464671429276
